episode,avg_reward,avg_secrecy_sum,qos_satisfaction_rate
1,-3.486418465321713,0.99192241525256,0.03
2,-3.911004018539145,1.0059680093833452,0.0
3,-3.4758073389531496,0.8584256694616137,0.01
4,-3.743757975187367,0.9687521327425892,0.02
5,-3.5712605106498665,0.8254384511035449,0.02
6,-3.3468669593907032,0.9954350402794723,0.03
7,-3.3259026811500125,1.1180776772980254,0.01
8,-3.5622656997224325,0.8759080210283484,0.02
9,-3.6857885974758546,0.9459974399869944,0.01
10,-4.216545407926984,0.7766475591513291,0.0
11,-6.585525524389059,0.9409203146916119,0.16
12,-9.877137296321235,0.9159300453218847,0.13
13,-4.0575623218528545,0.9112491299454248,0.0
14,-3.9020920580072396,0.9747572761561584,0.0
15,-4.0596083307529245,0.9125728171892845,0.0
16,-3.738523664803223,1.097242212661583,0.0
17,-3.990409084960407,0.9538370986096605,0.0
18,-3.622724436578829,0.9503101158173289,0.04
19,-1.4347655543923807,0.9356484587328038,0.34
20,-3.0331363623276872,0.7923390870680669,0.21
21,-1.8909589360883823,0.7193828603854512,0.26
22,-1.8340509189589609,0.8820544520400196,0.26
23,-2.1516495262744777,0.7582549218596673,0.22
24,-2.5145075014748923,0.7491288225459357,0.17
25,-1.6308682354443311,0.9011731723657155,0.17
26,-2.307323057765856,0.9022372280688309,0.24
27,-2.1147987187809307,0.7720163219862008,0.23
28,-2.5666556682811104,0.6563791325730384,0.18
29,-1.9360335080318292,0.9417700452066952,0.22
30,-2.0608975986203557,0.9259732804013032,0.19
31,-1.961088042460257,0.9417689953754831,0.19
32,-2.1329810067753554,0.8732834986645216,0.14
33,-1.8808827340331151,1.1229633895803584,0.19
34,-1.8289108755387964,0.8055618700381812,0.24
35,-1.4104109288790059,1.0196755462847131,0.25
36,-1.5484779397335688,1.0471764534939334,0.25
37,-2.195384239481507,0.8448143182871715,0.16
38,-1.9993996088600685,0.9428468372352188,0.22
39,-1.5954881410629056,0.8596270977281845,0.28
40,-1.9932146802129669,0.8819197991472737,0.27
41,-2.061586515552218,1.0377414453257447,0.27
42,-2.128304478527241,0.8948857676712272,0.25
43,-1.1132298637377671,1.0102141553540105,0.31
44,-1.9891688708451492,0.9133203477778465,0.24
45,-1.88872863984032,0.9316660427040203,0.31
46,-1.8037676931064237,0.9566164655159315,0.25
47,-2.389556318521045,0.7919336284506698,0.34
48,-3.455657367158833,0.7351171625875861,0.26
49,-1.8906550497766894,0.9199073109413873,0.32
50,-2.5940681177271756,0.8609111969336953,0.28
51,-1.9634218580715148,0.8927768810658597,0.28
52,-2.016186976205266,0.7943016669371119,0.26
53,-1.8250055090646962,0.7512731480422132,0.26
54,-2.137547951101708,0.8237301545739286,0.24
55,-1.629495211886767,1.0168319444031118,0.37
56,-1.5670568093313713,1.0512067365395366,0.31
57,-2.119967797333543,0.9100648145592253,0.27
58,-1.7288638838584511,0.6864419491819639,0.35
59,-1.4449770468784826,0.8928058117092665,0.29
60,-1.8131269121511397,0.9268173340660608,0.26
61,-2.0140666652825105,0.8739613919603291,0.29
62,-2.0170293823902075,0.7041817625782256,0.29
63,-1.6743568878887976,0.8064295902814692,0.33
64,-2.0396386195686858,0.8513190114541318,0.3
65,-2.4352682857460635,0.6894810913879869,0.31
66,-2.781827346244079,0.8480817852922428,0.23
67,-1.8905479629675086,0.9114680977128841,0.27
68,-2.046902432258218,0.8583504227593207,0.3
69,-1.5767291929157379,1.052242313188774,0.36
70,-2.0172864083503224,0.8606254003501335,0.3
71,-2.496004089583348,0.7912131442920078,0.25
72,-2.154981408724246,0.830658942036228,0.35
73,-2.0645704434310423,0.6803292257561537,0.29
74,-2.1222153417265543,0.7569942416536704,0.34
75,-2.5617722295901246,0.7672345924016473,0.34
76,-2.7361778247883826,0.9057579164934482,0.25
77,-1.7554518548688274,0.9165043055734504,0.33
78,-1.4000424258392545,0.9309651440142471,0.43
79,-3.268342713151962,0.8768449348949677,0.33
80,-1.9153429753443774,1.0557255793999871,0.34
81,-1.465685170293939,0.8800994996946606,0.44
82,-2.4131664458466466,0.6387490845988332,0.37
83,-2.4369127846088405,0.8652639578890191,0.33
84,-1.7111152857857699,0.8050550330466464,0.35
85,-1.6155152932203123,0.9669506258793286,0.34
86,-1.9174204472029566,0.9280181819667318,0.31
87,-2.05728769402393,0.9104775839696404,0.32
88,-2.5176230598657194,0.737383143715614,0.32
89,-2.493673038599305,0.8240395428975394,0.25
90,-2.3575696960811188,0.8635489658730705,0.21
91,-2.193751885487509,0.8374159382099888,0.24
92,-2.8349514673777128,0.7554964505381858,0.26
93,-1.9550425293962959,0.8967427035142724,0.36
94,-1.912192321060899,0.7328252548060337,0.29
95,-2.406775587604902,0.8924808018800402,0.38
96,-2.366483467740524,0.68562269371769,0.31
97,-2.574745883695202,0.7732047338816492,0.26
98,-2.28758848870231,0.8165025146949881,0.31
99,-2.1057452162503782,0.7218875721629131,0.34
100,-2.5255457620919604,0.7969628215773445,0.34
101,-2.174567721498427,0.7852410106151385,0.25
102,-2.2568699968088186,0.9652705629097498,0.24
103,-2.6912409783034654,0.6451651847187437,0.29
104,-2.207944785466197,0.7746779293101865,0.34
105,-1.6174701299733567,0.7230864291035823,0.36
106,-2.4040659687215316,0.7824939174390838,0.29
107,-2.594144301842599,0.5335463456054822,0.29
108,-1.911843293918351,0.9051997886211423,0.3
109,-2.2336103096276325,0.7001359753208634,0.23
110,-2.386067875730695,0.8786031169380276,0.28
111,-2.621228709334732,0.6357560744458748,0.25
112,-2.706174314456443,0.6950490416603397,0.36
113,-2.128457131470477,0.7646340789771634,0.29
114,-1.5100998774022654,1.0105287405539325,0.33
115,-2.6956471290657844,0.8249925554513279,0.32
116,-2.0672494245855937,0.791813438944175,0.25
117,-1.9774954085893688,0.8482854739979431,0.31
118,-1.9138026613027799,0.950884011768219,0.29
119,-2.0067958778357373,0.9825805382163463,0.35
120,-2.2788076520217166,0.8467181226237126,0.31
121,-1.695937977041649,0.8944500512453375,0.33
122,-1.5799186845858053,1.0967842627529385,0.31
123,-1.7125707962243248,1.0303542668190708,0.29
124,-2.5232018707116324,0.7089076436396922,0.24
125,-2.4324776743961105,0.7329072509247818,0.34
126,-1.9298692729194469,0.8533438071540025,0.31
127,-1.575208199798011,0.8637730186851046,0.36
128,-2.0030370109165143,0.8197667623718945,0.36
129,-1.8632059263897438,0.7372057347562938,0.3
130,-2.1015030568523727,0.8175883598395935,0.29
131,-1.7659749987016156,0.9134602206522622,0.33
132,-2.0219932681916983,0.9617924144716758,0.36
133,-1.8231188268021814,0.9073126904156187,0.27
134,-2.330942784264004,0.8071323375469517,0.37
135,-1.6974135194281343,0.8933634174454681,0.29
136,-1.3545339756774804,0.9161878035525745,0.38
137,-2.2472914359978535,0.8830438237030134,0.34
138,-2.388789757407744,0.8912251524048277,0.32
139,-1.7676649377943883,1.028789356064716,0.34
140,-2.7102722571133917,0.8566705553790921,0.27
141,-2.7359155559272414,0.8814937529395981,0.29
142,-2.251754551113881,0.7976822099715936,0.28
143,-3.171680806504916,0.7405711667606241,0.27
144,-1.9772186462657484,0.8466200503798476,0.35
145,-1.8726528335081094,0.928844852026292,0.33
146,-2.630070049254321,0.8667498669617518,0.32
147,-1.868638653090975,0.8803487506543207,0.34
148,-2.0587550280963067,0.9583339649780004,0.3
149,-2.2655442315626204,0.8759175532085781,0.35
150,-1.872264125326498,0.8769438926758614,0.4
151,-2.055534786012324,0.7255999475914616,0.28
152,-1.920060725840989,0.8854786200710396,0.3
153,-1.5990049930002206,0.8167957751221288,0.33
154,-2.8941368625316084,0.8216278368385411,0.3
155,-1.41841835942365,0.920610127802654,0.41
156,-2.3366409091514426,0.7917423234753174,0.32
157,-1.9776359213275205,0.9101769147381049,0.31
158,-2.0843450368505403,0.8229673116971794,0.29
159,-2.5697183633139167,0.8443488366834805,0.34
160,-1.800866798369902,1.0200503065353657,0.36
161,-1.5991122794090524,0.8577761261002865,0.32
162,-2.1115472057397313,0.9554348656220348,0.27
163,-1.5274638391261524,0.9685189243090256,0.37
164,-2.9032638353665328,0.5157433425836431,0.26
165,-1.8422898256025104,0.9237972482096538,0.26
166,-2.4900757455782476,0.9074981959077291,0.28
167,-1.670767499496552,0.9724378162749986,0.32
168,-2.500083755966024,0.693894149270665,0.24
169,-2.5266342885012842,0.9608527842916154,0.26
170,-2.0398447570166742,0.7235701719574724,0.26
171,-2.222827277958031,0.6917239204357521,0.26
172,-1.633446947365957,1.103354448510303,0.31
173,-1.9058204301681192,0.6916063869064599,0.38
174,-1.8429549973517296,0.9540446060641152,0.31
175,-1.87281901678611,0.86220586506602,0.28
176,-2.332422235765508,0.8946020574835285,0.26
177,-1.7673573354820624,1.0268115588966964,0.34
178,-2.82564257554384,0.9250594744223436,0.29
179,-2.9688717412285968,0.9706542928975557,0.22
180,-2.136699415180531,0.9111274619755722,0.3
181,-2.174375268358551,0.7477230404317072,0.34
182,-3.167762357611817,0.9001434467009087,0.28
183,-1.9103229455617818,0.7461460792577317,0.29
184,-2.563027788182453,0.8691679756925808,0.26
185,-2.645822971160665,0.7690138295874047,0.24
186,-2.07794227843658,0.7655117059771106,0.29
187,-1.2866008910472695,0.9319054778081889,0.31
188,-2.5777037949060224,0.911590452411209,0.28
189,-2.1401141179022254,0.8004505290282928,0.3
190,-1.8683159593802605,0.7977956316859796,0.31
191,-2.8251324181557074,0.6956827495753514,0.29
192,-2.3820206399051007,0.789794147319291,0.26
193,-2.031871594383949,0.7913757435093903,0.31
194,-1.168933860999905,1.0045232761619287,0.37
195,-2.2645410597271054,0.9675963981893883,0.29
196,-1.66295773169846,0.8528137598979424,0.27
197,-2.0593599481369522,0.8515316962690287,0.3
198,-1.5857635360466227,0.9709139005714809,0.3
199,-1.989406201223043,0.8603870596468286,0.29
200,-2.1785738435469755,0.7769489566781239,0.27
201,-1.9845634503635654,0.7818682333451734,0.26
202,-1.5639280659265937,0.9071434012479651,0.36
203,-1.8966421302878518,0.798680660259945,0.32
204,-2.639564844577056,0.7327427041110559,0.27
205,-1.6380555443606235,1.0423223832948265,0.34
206,-2.5948387863436517,0.8105012655165846,0.3
207,-1.9019701491661969,0.879218042046152,0.35
208,-2.5748767901368215,0.9566243660671334,0.28
209,-2.2769680292563064,0.7711585162510823,0.27
210,-2.5147419434683194,0.7524046713274796,0.24
211,-1.5109515207369648,0.9395526916723662,0.33
212,-1.6040888706727887,0.968816099496549,0.28
213,-1.8909154874393528,0.9023401797209383,0.31
214,-2.373782586616789,0.7381402281745575,0.25
215,-1.336886415598719,1.0251808032135097,0.4
216,-1.6329872715796276,0.8445553476001842,0.34
217,-2.3139261030881477,0.951546727416695,0.28
218,-1.717408064260101,0.757188539804484,0.34
219,-2.2977470691794895,0.7875280259925066,0.28
220,-2.4251508471802543,0.852148176880394,0.22
221,-1.8777120216481702,0.7950918576552918,0.33
222,-1.6266037418553863,0.8451900015397428,0.31
223,-1.6784547843767508,0.7140446396029215,0.33
224,-1.6278267856848012,0.9309358938192079,0.37
225,-1.7645496389957704,0.849305724551758,0.34
226,-1.8696286432620974,0.8857217058817192,0.27
227,-1.7071600284700534,0.9394995610003433,0.38
228,-2.4004431056392033,0.6444533087800055,0.33
229,-1.4060214431140545,0.8431908761800865,0.38
230,-1.9050802268659015,0.8166071218434134,0.31
231,-1.6737978079032307,0.7678145332315222,0.38
232,-2.3889337308528287,0.7326141660675585,0.28
233,-1.3942697239748474,0.9148814020091294,0.36
234,-1.3387050713348398,1.0321991332145788,0.37
235,-1.9983415881230022,0.9200042503617012,0.27
236,-1.7177715214319895,0.9016902756017043,0.31
237,-1.56771759043083,0.9774610687556489,0.35
