episode,avg_reward,avg_secrecy_sum,qos_satisfaction_rate
1,-3.9320030317392964,0.8908301655748965,0.14
2,-4.690648667242584,0.9119360730266507,0.08
3,-3.9690952417034664,0.7670380629672637,0.06
4,-4.446161112428323,0.9632837772414753,0.08
5,-4.158967928212558,0.8007991198118019,0.11
6,-3.8392450272198513,0.9026206459264345,0.08
7,-2.9200817460445614,1.017241819155748,0.1
8,-4.580282607156852,0.8178489688476652,0.06
9,-3.7005854188135014,0.8624221041365252,0.12
10,-4.692795153837801,0.7224668742252525,0.08
11,-3.648605314544265,1.1184300081056717,0.23
12,-3.5411254644948142,0.9863803840576831,0.01
13,-4.1788215507278315,0.875150572054058,0.0
14,-4.0132962689377045,1.0087679128449452,0.0
15,-3.9723845693213673,0.9342777436348415,0.0
16,-3.824483890110663,1.086846509531151,0.0
17,-3.9231847553290837,0.9967170161247709,0.0
18,-2.8967769278410156,0.835053768589751,0.07
19,-1.4926493264709817,0.9635774742544004,0.3
20,-2.2195918001495305,0.8843708900899325,0.31
21,-1.9871173115744016,0.7052673651686896,0.31
22,-2.0102835405039428,0.9095937435361887,0.27
23,-2.200400813109908,0.75294160480955,0.29
24,-1.8853645565378299,0.875222755993062,0.3
25,-2.075017599439106,0.9064585443274672,0.2
26,-2.182364763658062,1.0226703456930286,0.24
27,-3.1234053634756553,0.7790324168955248,0.32
28,-2.8260455746771687,0.6840722732606929,0.27
29,-1.828969745732013,0.9939788772909782,0.33
30,-2.4172496659327702,0.8668370802431078,0.23
31,-2.00598271934145,0.8575475645419766,0.28
32,-1.923946274598248,0.8253720953438137,0.3
33,-2.160504852192934,1.0534562324019328,0.39
34,-2.3416756560524368,0.7691195467952836,0.25
35,-1.341490253467113,0.9477267426250373,0.42
36,-1.7636652965430115,1.0653505031175243,0.33
37,-2.9681369926433003,0.767615936868056,0.26
38,-2.5577858483188054,0.8258505829715149,0.26
39,-1.7627459831211871,0.8420408976686689,0.32
40,-2.4933684728266186,0.8392955934462937,0.26
41,-2.713223143707887,0.9418144679724395,0.29
42,-2.5687952980566355,0.8653767191516137,0.29
43,-2.0340378059236737,0.9228012491684732,0.3
44,-2.575966680487515,0.7966107435524304,0.21
45,-2.6031749915177023,0.7920834100473944,0.38
46,-2.014628810255984,0.8959563975903819,0.34
47,-3.0601435823409493,0.7876618801309198,0.34
48,-2.5900568924887915,0.6293664347753412,0.26
49,-3.024700444047673,0.8236739440180035,0.31
50,-2.5215336949244986,0.8304709899469768,0.27
51,-2.092794424140574,0.920013275199839,0.23
52,-2.428912244322344,0.739867182326732,0.26
53,-2.1278884301055454,0.6943327437453165,0.27
54,-3.3991547226005125,0.708498482267877,0.26
55,-2.3501320791809266,0.9567992889375385,0.32
56,-2.0541511465240365,0.9568737636621318,0.38
57,-2.447917052637077,0.9426151425524618,0.29
58,-1.8731239792137233,0.7274262422414977,0.33
59,-1.7382844302267995,0.8497758640102778,0.3
60,-2.211844549326101,0.9280387736886514,0.26
61,-2.9121131457357166,0.7787480362567096,0.26
62,-2.5717409926328956,0.7037188164350934,0.24
63,-2.30244632087886,0.6881425463847836,0.37
64,-2.162707686939636,0.7348857888264021,0.23
65,-2.769121438568709,0.5816043700904777,0.29
66,-2.085722236855383,0.8526480212740252,0.3
67,-1.9629814876953995,0.8260609576250156,0.35
68,-2.0939609411919466,0.8515330352073406,0.3
69,-2.282230685663663,1.0292243017003653,0.33
70,-1.9132671082981252,0.9024088066177278,0.33
71,-1.9024930792628771,0.7737894926342824,0.29
72,-2.446253723152731,0.6910292868405518,0.29
73,-2.7904863474514645,0.6186219721219663,0.29
74,-2.4491340765148553,0.6743502419063256,0.32
75,-2.205665467388248,0.6897329531003838,0.37
76,-2.896775555062785,0.8346548103076123,0.28
77,-2.350098406835234,0.8862642352647565,0.35
78,-1.4097289266009545,1.0090843177865487,0.4
79,-2.3196179918738937,0.9348543360759995,0.38
80,-1.5355527717664637,0.9606196046456908,0.41
81,-1.8263283081820645,0.8389165190013201,0.32
82,-2.551973946105352,0.6042071010664662,0.35
83,-2.3152644779826717,0.81774610087033,0.34
84,-2.341451837564585,0.8007030866033028,0.24
85,-1.8004257024833275,0.8490671668299796,0.38
86,-1.7865056521424523,0.8739043655922123,0.35
87,-2.501695181000736,0.8308014468626012,0.34
88,-2.4630210592112816,0.7730163746993385,0.34
89,-2.0512722014940294,0.8449272712587839,0.31
90,-2.604571823456207,0.8842842454190276,0.29
91,-2.387577234819153,0.7728233840843006,0.27
92,-2.765160841555682,0.7309897352658459,0.28
93,-2.0521656602090164,0.8402093648945974,0.31
94,-1.8835861290603089,0.6849673372865931,0.37
95,-2.1412593321336995,0.8030118562710176,0.38
96,-2.193775047931545,0.6778660392524897,0.28
97,-2.340301898812763,0.8212492260215146,0.3
98,-2.0321026205978647,0.811040812019873,0.36
99,-1.7319386968780048,0.7090309037507049,0.35
100,-2.113123991221694,0.786708972136268,0.3
101,-2.3745932959157865,0.709536738365282,0.25
102,-2.7604487234864505,0.904233255310574,0.35
103,-2.2183563102251584,0.6180034004008076,0.35
104,-2.4327396020837377,0.8450562213954647,0.34
105,-1.9447096580582917,0.708038236466267,0.34
106,-2.707448567732243,0.7374758922738702,0.25
107,-2.327481437260651,0.5617632652188533,0.29
108,-2.336126594460262,0.8345103745915421,0.33
109,-2.2149182502174103,0.6493592489885041,0.32
110,-2.2018057123006662,0.7862812296944756,0.28
111,-2.8346756090301146,0.6133970634849478,0.29
112,-2.431157507116441,0.6172942300185752,0.32
113,-2.2697833013181627,0.7750408838111623,0.25
114,-1.1667458597130846,1.0302083415070777,0.37
115,-3.436394208649524,0.7544254701217292,0.23
116,-2.1566113079692983,0.8064750268524449,0.3
117,-2.3154665792574907,0.8557542169843759,0.32
118,-2.6343108807052813,0.9468326207796153,0.34
119,-2.0170759158589107,0.9320176566340392,0.38
120,-1.8481733686163186,0.8050153714576196,0.38
121,-2.011659259493353,0.7148469080350042,0.31
122,-1.8180353758760373,1.0405484586239726,0.34
123,-2.1756530771953595,0.9136181177737321,0.22
124,-2.33151778446365,0.6505798579780522,0.28
125,-2.422362362252534,0.7961146901744158,0.33
126,-2.3529254723032493,0.8292626343764933,0.29
127,-1.958708506930947,0.9012943487216936,0.36
128,-2.412468359076388,0.7091432633230628,0.33
129,-1.8723371422099155,0.7567741089079205,0.32
130,-2.917734310971773,0.8274307322254366,0.32
131,-1.8770330951737222,0.7788071971170716,0.33
132,-1.8188221205367296,0.8939717384358136,0.26
133,-1.9270122342865923,0.8704415052006524,0.35
134,-2.6515832227876235,0.6918367581451974,0.36
135,-1.7054960333672977,0.886573221627561,0.33
136,-1.6193644187596035,0.9392112415952404,0.31
137,-1.5776053642983805,0.864067009252064,0.43
138,-1.9890558915651813,0.8184007019310121,0.3
139,-2.1592676249369034,0.9434009558637032,0.31
140,-2.447594553452328,0.688892698814405,0.25
141,-3.297832119232819,0.961156259521085,0.23
142,-2.4559409654020268,0.6333042147996014,0.28
143,-2.5497454424721204,0.7483538199677591,0.29
144,-2.1437511448468314,0.6972353962122437,0.34
145,-1.7355492627349218,0.8859051388141956,0.31
146,-2.227890900751967,0.8109754406669778,0.26
147,-2.033451422275638,0.8735981779866371,0.32
148,-2.157732138651794,0.8665640901873307,0.28
149,-2.0123293833179017,0.8274710053869634,0.38
150,-2.2017203570819195,0.8314231131433506,0.3
151,-2.5967973284118506,0.7131530290346605,0.33
152,-2.28647898582599,0.825397113127559,0.3
153,-2.2308618994073806,0.7706397123964237,0.3
154,-2.3089434001174935,0.7068001623972888,0.3
