algorithm,avg_secrecy_sum,avg_legit_rate_sum,avg_eaves_rate_sum,qos_satisfaction_rate,secrecy_outage_prob,avg_decision_time_ms
DDPG,1.027813255105755,2.703123427304996,2.409204861442817,0.58095,0.3334,0.03921581234994846
TD3,0.8653150244065335,2.9772341201241557,2.908027789440552,0.6426,0.3972,0.04002516930290767
SAC,0.9039056287835782,2.422621199870414,2.100536776651125,0.2317,0.31085,0.04555648215041401
Random,0.8851927994148459,1.8708229428990613,1.3358164859617165,0.06685,0.29685,0.004606701399006851
Equal,0.9602308536920071,1.8057241551846361,1.1729417141216654,0.0,0.2464,0.000492043746771742
Heuristic,1.032031320049397,2.1810977858214478,1.5468178669143609,0.20335,0.2511,0.0017241570475107436
PSO,1.102342917650357,2.760040071600995,2.379245778326647,0.6025,0.3277,9.909902202103694
Grid,1.0931252934033415,2.7527623248138005,2.3736316799193045,0.5892,0.32985,1.494657159801227
DDPG_NoJammer,0.8654486815269751,2.9515351164942003,2.908027800703729,0.6236,0.40235,0.04005124690306729
