episode,avg_reward,avg_secrecy_sum,qos_satisfaction_rate,algorithm
1,-3.486418465321713,0.99192241525256,0.03,DDPG
2,-3.911004018539145,1.0059680093833452,0.0,DDPG
3,-3.4758073389531496,0.8584256694616137,0.01,DDPG
4,-3.743757975187367,0.9687521327425892,0.02,DDPG
5,-3.5712605106498665,0.8254384511035449,0.02,DDPG
6,-3.3468669593907032,0.9954350402794723,0.03,DDPG
7,-3.3259026811500125,1.1180776772980254,0.01,DDPG
8,-3.5622656997224325,0.8759080210283484,0.02,DDPG
9,-3.6857885974758546,0.9459974399869944,0.01,DDPG
10,-4.216545407926984,0.7766475591513291,0.0,DDPG
11,-6.585525524389059,0.9409203146916119,0.16,DDPG
12,-9.877137296321235,0.9159300453218847,0.13,DDPG
13,-4.0575623218528545,0.9112491299454248,0.0,DDPG
14,-3.9020920580072396,0.9747572761561584,0.0,DDPG
15,-4.0596083307529245,0.9125728171892845,0.0,DDPG
16,-3.738523664803223,1.097242212661583,0.0,DDPG
17,-3.990409084960407,0.9538370986096605,0.0,DDPG
18,-3.622724436578829,0.9503101158173289,0.04,DDPG
19,-1.4347655543923807,0.9356484587328038,0.34,DDPG
20,-3.0331363623276872,0.7923390870680669,0.21,DDPG
21,-1.8909589360883823,0.7193828603854512,0.26,DDPG
22,-1.8340509189589609,0.8820544520400196,0.26,DDPG
23,-2.1516495262744777,0.7582549218596673,0.22,DDPG
24,-2.5145075014748923,0.7491288225459357,0.17,DDPG
25,-1.6308682354443311,0.9011731723657155,0.17,DDPG
26,-2.307323057765856,0.9022372280688309,0.24,DDPG
27,-2.1147987187809307,0.7720163219862008,0.23,DDPG
28,-2.5666556682811104,0.6563791325730384,0.18,DDPG
29,-1.9360335080318292,0.9417700452066952,0.22,DDPG
30,-2.0608975986203557,0.9259732804013032,0.19,DDPG
31,-1.961088042460257,0.9417689953754831,0.19,DDPG
32,-2.1329810067753554,0.8732834986645216,0.14,DDPG
33,-1.8808827340331151,1.1229633895803584,0.19,DDPG
34,-1.8289108755387964,0.8055618700381812,0.24,DDPG
35,-1.4104109288790059,1.0196755462847131,0.25,DDPG
36,-1.5484779397335688,1.0471764534939334,0.25,DDPG
37,-2.195384239481507,0.8448143182871715,0.16,DDPG
38,-1.9993996088600685,0.9428468372352188,0.22,DDPG
39,-1.5954881410629056,0.8596270977281845,0.28,DDPG
40,-1.9932146802129669,0.8819197991472737,0.27,DDPG
41,-2.061586515552218,1.0377414453257447,0.27,DDPG
42,-2.128304478527241,0.8948857676712272,0.25,DDPG
43,-1.1132298637377671,1.0102141553540105,0.31,DDPG
44,-1.9891688708451492,0.9133203477778465,0.24,DDPG
45,-1.88872863984032,0.9316660427040203,0.31,DDPG
46,-1.8037676931064237,0.9566164655159315,0.25,DDPG
47,-2.389556318521045,0.7919336284506698,0.34,DDPG
48,-3.455657367158833,0.7351171625875861,0.26,DDPG
49,-1.8906550497766894,0.9199073109413873,0.32,DDPG
50,-2.5940681177271756,0.8609111969336953,0.28,DDPG
51,-1.9634218580715148,0.8927768810658597,0.28,DDPG
52,-2.016186976205266,0.7943016669371119,0.26,DDPG
53,-1.8250055090646962,0.7512731480422132,0.26,DDPG
54,-2.137547951101708,0.8237301545739286,0.24,DDPG
55,-1.629495211886767,1.0168319444031118,0.37,DDPG
56,-1.5670568093313713,1.0512067365395366,0.31,DDPG
57,-2.119967797333543,0.9100648145592253,0.27,DDPG
58,-1.7288638838584511,0.6864419491819639,0.35,DDPG
59,-1.4449770468784826,0.8928058117092665,0.29,DDPG
60,-1.8131269121511397,0.9268173340660608,0.26,DDPG
61,-2.0140666652825105,0.8739613919603291,0.29,DDPG
62,-2.0170293823902075,0.7041817625782256,0.29,DDPG
63,-1.6743568878887976,0.8064295902814692,0.33,DDPG
64,-2.0396386195686858,0.8513190114541318,0.3,DDPG
65,-2.4352682857460635,0.6894810913879869,0.31,DDPG
66,-2.781827346244079,0.8480817852922428,0.23,DDPG
67,-1.8905479629675086,0.9114680977128841,0.27,DDPG
68,-2.046902432258218,0.8583504227593207,0.3,DDPG
69,-1.5767291929157379,1.052242313188774,0.36,DDPG
70,-2.0172864083503224,0.8606254003501335,0.3,DDPG
71,-2.496004089583348,0.7912131442920078,0.25,DDPG
72,-2.154981408724246,0.830658942036228,0.35,DDPG
73,-2.0645704434310423,0.6803292257561537,0.29,DDPG
74,-2.1222153417265543,0.7569942416536704,0.34,DDPG
75,-2.5617722295901246,0.7672345924016473,0.34,DDPG
76,-2.7361778247883826,0.9057579164934482,0.25,DDPG
77,-1.7554518548688274,0.9165043055734504,0.33,DDPG
78,-1.4000424258392545,0.9309651440142471,0.43,DDPG
79,-3.268342713151962,0.8768449348949677,0.33,DDPG
80,-1.9153429753443774,1.0557255793999871,0.34,DDPG
81,-1.465685170293939,0.8800994996946606,0.44,DDPG
82,-2.4131664458466466,0.6387490845988332,0.37,DDPG
83,-2.4369127846088405,0.8652639578890191,0.33,DDPG
84,-1.7111152857857699,0.8050550330466464,0.35,DDPG
85,-1.6155152932203123,0.9669506258793286,0.34,DDPG
86,-1.9174204472029566,0.9280181819667318,0.31,DDPG
87,-2.05728769402393,0.9104775839696404,0.32,DDPG
88,-2.5176230598657194,0.737383143715614,0.32,DDPG
89,-2.493673038599305,0.8240395428975394,0.25,DDPG
90,-2.3575696960811188,0.8635489658730705,0.21,DDPG
91,-2.193751885487509,0.8374159382099888,0.24,DDPG
92,-2.8349514673777128,0.7554964505381858,0.26,DDPG
93,-1.9550425293962959,0.8967427035142724,0.36,DDPG
94,-1.912192321060899,0.7328252548060337,0.29,DDPG
95,-2.406775587604902,0.8924808018800402,0.38,DDPG
96,-2.366483467740524,0.68562269371769,0.31,DDPG
97,-2.574745883695202,0.7732047338816492,0.26,DDPG
98,-2.28758848870231,0.8165025146949881,0.31,DDPG
99,-2.1057452162503782,0.7218875721629131,0.34,DDPG
100,-2.5255457620919604,0.7969628215773445,0.34,DDPG
101,-2.174567721498427,0.7852410106151385,0.25,DDPG
102,-2.2568699968088186,0.9652705629097498,0.24,DDPG
103,-2.6912409783034654,0.6451651847187437,0.29,DDPG
104,-2.207944785466197,0.7746779293101865,0.34,DDPG
105,-1.6174701299733567,0.7230864291035823,0.36,DDPG
106,-2.4040659687215316,0.7824939174390838,0.29,DDPG
107,-2.594144301842599,0.5335463456054822,0.29,DDPG
108,-1.911843293918351,0.9051997886211423,0.3,DDPG
109,-2.2336103096276325,0.7001359753208634,0.23,DDPG
110,-2.386067875730695,0.8786031169380276,0.28,DDPG
111,-2.621228709334732,0.6357560744458748,0.25,DDPG
112,-2.706174314456443,0.6950490416603397,0.36,DDPG
113,-2.128457131470477,0.7646340789771634,0.29,DDPG
114,-1.5100998774022654,1.0105287405539325,0.33,DDPG
115,-2.6956471290657844,0.8249925554513279,0.32,DDPG
116,-2.0672494245855937,0.791813438944175,0.25,DDPG
117,-1.9774954085893688,0.8482854739979431,0.31,DDPG
118,-1.9138026613027799,0.950884011768219,0.29,DDPG
119,-2.0067958778357373,0.9825805382163463,0.35,DDPG
120,-2.2788076520217166,0.8467181226237126,0.31,DDPG
121,-1.695937977041649,0.8944500512453375,0.33,DDPG
122,-1.5799186845858053,1.0967842627529385,0.31,DDPG
123,-1.7125707962243248,1.0303542668190708,0.29,DDPG
124,-2.5232018707116324,0.7089076436396922,0.24,DDPG
125,-2.4324776743961105,0.7329072509247818,0.34,DDPG
126,-1.9298692729194469,0.8533438071540025,0.31,DDPG
127,-1.575208199798011,0.8637730186851046,0.36,DDPG
128,-2.0030370109165143,0.8197667623718945,0.36,DDPG
129,-1.8632059263897438,0.7372057347562938,0.3,DDPG
130,-2.1015030568523727,0.8175883598395935,0.29,DDPG
131,-1.7659749987016156,0.9134602206522622,0.33,DDPG
132,-2.0219932681916983,0.9617924144716758,0.36,DDPG
133,-1.8231188268021814,0.9073126904156187,0.27,DDPG
134,-2.330942784264004,0.8071323375469517,0.37,DDPG
135,-1.6974135194281343,0.8933634174454681,0.29,DDPG
136,-1.3545339756774804,0.9161878035525745,0.38,DDPG
137,-2.2472914359978535,0.8830438237030134,0.34,DDPG
138,-2.388789757407744,0.8912251524048277,0.32,DDPG
139,-1.7676649377943883,1.028789356064716,0.34,DDPG
140,-2.7102722571133917,0.8566705553790921,0.27,DDPG
141,-2.7359155559272414,0.8814937529395981,0.29,DDPG
142,-2.251754551113881,0.7976822099715936,0.28,DDPG
143,-3.171680806504916,0.7405711667606241,0.27,DDPG
144,-1.9772186462657484,0.8466200503798476,0.35,DDPG
145,-1.8726528335081094,0.928844852026292,0.33,DDPG
146,-2.630070049254321,0.8667498669617518,0.32,DDPG
147,-1.868638653090975,0.8803487506543207,0.34,DDPG
148,-2.0587550280963067,0.9583339649780004,0.3,DDPG
149,-2.2655442315626204,0.8759175532085781,0.35,DDPG
150,-1.872264125326498,0.8769438926758614,0.4,DDPG
151,-2.055534786012324,0.7255999475914616,0.28,DDPG
152,-1.920060725840989,0.8854786200710396,0.3,DDPG
153,-1.5990049930002206,0.8167957751221288,0.33,DDPG
154,-2.8941368625316084,0.8216278368385411,0.3,DDPG
155,-1.41841835942365,0.920610127802654,0.41,DDPG
156,-2.3366409091514426,0.7917423234753174,0.32,DDPG
157,-1.9776359213275205,0.9101769147381049,0.31,DDPG
158,-2.0843450368505403,0.8229673116971794,0.29,DDPG
159,-2.5697183633139167,0.8443488366834805,0.34,DDPG
160,-1.800866798369902,1.0200503065353657,0.36,DDPG
161,-1.5991122794090524,0.8577761261002865,0.32,DDPG
162,-2.1115472057397313,0.9554348656220348,0.27,DDPG
163,-1.5274638391261524,0.9685189243090256,0.37,DDPG
164,-2.9032638353665328,0.5157433425836431,0.26,DDPG
165,-1.8422898256025104,0.9237972482096538,0.26,DDPG
166,-2.4900757455782476,0.9074981959077291,0.28,DDPG
167,-1.670767499496552,0.9724378162749986,0.32,DDPG
168,-2.500083755966024,0.693894149270665,0.24,DDPG
