algorithm,avg_secrecy_sum,avg_legit_rate_sum,avg_eaves_rate_sum,qos_satisfaction_rate,sic_feasible_rate,avg_sic_margin,secrecy_outage_prob,avg_decision_time_ms,avg_p1,avg_p2,avg_pj
Random,0.9104586788852116,1.8981756108821652,1.3533246707300541,0.06666666666666667,0.6046666666666667,0.2966342686394632,0.30466666666666664,0.005374377993878928,3.349228150097886,3.4587440941737344,3.192027761830327
Equal,0.9859994695633341,1.8123991038382603,1.1511605705037031,0.0,0.6086666666666667,0.09018896973536072,0.24733333333333332,0.00062847266690369,3.3333334922790527,3.3333334922790527,3.3333334922790527
Heuristic,1.0576058010206923,2.184522066258259,1.5200623992585407,0.18133333333333335,0.616,0.1579498218875533,0.25333333333333335,0.0019974946587050604,5.0,3.0,2.0
Grid,1.1108324536579879,2.751008523251067,2.351125339341111,0.5786666666666667,0.6693333333333333,0.734259297234977,0.31666666666666665,1.7907852666618662,5.835333334799999,3.5923333336666667,0.572333395333334
PSO,1.1181942632869848,2.757697540564863,2.3595283981408355,0.5993333333333334,0.67,0.7610470922439727,0.31266666666666665,6.991549297330191,5.778664726683782,3.6422412687893155,0.5464293565721556
Search_FullReward,1.1108324536579879,2.751008523251067,2.351125339341111,0.5786666666666667,0.6693333333333333,0.734259297234977,0.31666666666666665,1.7974101340008322,5.835333334799999,3.5923333336666667,0.572333395333334
Search_NoSICPenalty,1.1908430608085185,2.803196608254405,2.2500510126595805,0.6126666666666667,0.6446666666666667,0.4184884435277155,0.2753333333333333,1.7852238906734783,6.467333334799999,2.866666669533333,0.666000055933334
Search_NoQoSPenalty,1.3598575630577312,2.5698387902705737,1.4978873961966952,0.0,0.6746666666666666,0.0028028824252185197,0.27666666666666667,1.77838924866622,0.04833342366666773,7.642666666666667,2.309000023866667
Search_FixedJammer,0.9689593811121513,2.0454940108520523,1.5200623842451881,0.31266666666666665,0.616,0.5122811490250411,0.27266666666666667,0.16450595466752324,4.586666591760288,3.4133332618232015,2.0
Search_NoJammer,0.9129731914064301,2.9947425105400667,2.8751198355052985,0.616,0.6446666666666667,0.7088557192632422,0.3873333333333333,0.1626956393368649,6.065333333866666,3.9346666667333334,1.0000000116860974e-07
