train_episodes,seed,algorithm,avg_secrecy_sum,avg_legit_rate_sum,avg_eaves_rate_sum,qos_satisfaction_rate,secrecy_outage_prob,avg_decision_time_ms
80,7,DDPG,0.9293925075510507,3.04849266852689,2.9169003474466826,0.375,0.4027777777777778,0.045199847216458186
80,7,TD3,0.8079245563980171,2.8398383885006804,2.9168109778420153,0.5361111111111111,0.4,0.04977379444363174
80,7,SAC,1.1223871809757975,2.777196901757615,2.19479837992057,0.0,0.3055555555555556,0.05164258333725987
80,7,Heuristic,1.0812864187909201,2.1745320238965085,1.5390554123983753,0.20555555555555555,0.23055555555555557,0.0022298555532213665
80,7,Grid,1.1383475887660408,2.7201869034930337,2.3774740881253233,0.5555555555555556,0.33055555555555555,1.8412211749999112
80,21,DDPG,0.93445050879008,3.0753557365949304,2.917682137563145,0.4888888888888889,0.39166666666666666,0.05000439722506497
80,21,TD3,0.6776356714325495,2.6579722424891226,2.916281542865979,0.2972222222222222,0.44166666666666665,0.049279222220219604
80,21,SAC,1.1223871809757975,2.777196901757615,2.19479837992057,0.0,0.3055555555555556,0.05306080555808674
80,21,Heuristic,1.0812864187909201,2.1745320238965085,1.5390554123983753,0.20555555555555555,0.23055555555555557,0.0020218777813675436
80,21,Grid,1.1383475887660408,2.7201869034930337,2.3774740881253233,0.5555555555555556,0.33055555555555555,1.882864363894517
80,42,DDPG,0.7423539320146773,2.7426151282357614,2.91637548155998,0.35,0.41388888888888886,0.05213791388061711
80,42,TD3,0.8951542269359418,2.978605654329707,2.9148146778764032,0.5666666666666667,0.39444444444444443,0.04344331111699123
80,42,SAC,1.1223871809757975,2.777196901757615,2.19479837992057,0.0,0.3055555555555556,0.04680571110940138
80,42,Heuristic,1.0812864187909201,2.1745320238965085,1.5390554123983753,0.20555555555555555,0.23055555555555557,0.0017735694453019984
80,42,Grid,1.1383475887660408,2.7201869034930337,2.3774740881253233,0.5555555555555556,0.33055555555555555,1.8091711055452226
160,7,DDPG,0.9159385988357817,3.0393697844735974,2.9172355611941163,0.5555555555555556,0.3861111111111111,0.06009703889794259
160,7,TD3,0.9158536462656431,3.033441723239562,2.9175914677706363,0.5305555555555556,0.39166666666666666,0.05367937221005074
160,7,SAC,1.1223871809757975,2.777196901757615,2.19479837992057,0.0,0.3055555555555556,0.06362188055643653
160,7,Heuristic,1.0812864187909201,2.1745320238965085,1.5390554123983753,0.20555555555555555,0.23055555555555557,0.002040363880774344
160,7,Grid,1.1383475887660408,2.7201869034930337,2.3774740881253233,0.5555555555555556,0.33055555555555555,1.8814467027823412
160,21,DDPG,0.9310007784023538,3.0466373886119653,2.917759969947177,0.45,0.4111111111111111,0.052769366660893664
160,21,TD3,0.9306065312317257,3.054997881433855,2.917054038640768,0.5388888888888889,0.39166666666666666,0.054919077782263535
160,21,SAC,1.1223871809757975,2.777196901757615,2.19479837992057,0.0,0.3055555555555556,0.05567043889035025
160,21,Heuristic,1.0812864187909201,2.1745320238965085,1.5390554123983753,0.20555555555555555,0.23055555555555557,0.002108983326504838
160,21,Grid,1.1383475887660408,2.7201869034930337,2.3774740881253233,0.5555555555555556,0.33055555555555555,2.686553622224134
160,42,DDPG,0.9494292345881459,3.0934497311669915,2.9176210500280826,0.45,0.39444444444444443,0.06928162222392428
160,42,TD3,0.9127595032856004,3.0133221796315612,2.9171907091044584,0.55,0.3972222222222222,0.05091147500845889
160,42,SAC,1.1223871809757975,2.777196901757615,2.19479837992057,0.0,0.3055555555555556,0.06459260555023623
160,42,Heuristic,1.0812864187909201,2.1745320238965085,1.5390554123983753,0.20555555555555555,0.23055555555555557,0.0022249333401052557
160,42,Grid,1.1383475887660408,2.7201869034930337,2.3774740881253233,0.5555555555555556,0.33055555555555555,3.042981986114531
320,7,DDPG,0.8866109501246814,2.953066169116404,2.917618640306777,0.5555555555555556,0.4111111111111111,0.11057366110473292
320,7,TD3,0.8966924989675037,2.9592358310369087,2.9177540794565338,0.575,0.4027777777777778,0.055802472220673534
320,7,SAC,1.1223871809757975,2.777196901757615,2.19479837992057,0.0,0.3055555555555556,0.07068429445287923
320,7,Heuristic,1.0812864187909201,2.1745320238965085,1.5390554123983753,0.20555555555555555,0.23055555555555557,0.0022706805522274306
320,7,Grid,1.1383475887660408,2.7201869034930337,2.3774740881253233,0.5555555555555556,0.33055555555555555,2.9819904722242225
320,21,DDPG,0.8713120137975565,2.902171742884415,2.9178026198146267,0.5416666666666666,0.425,0.08028710000379154
320,21,TD3,0.881847610126129,2.933062296119135,2.9175630520277775,0.5388888888888889,0.4166666666666667,0.08308782500800287
320,21,SAC,1.1223871809757975,2.777196901757615,2.19479837992057,0.0,0.3055555555555556,0.11516056945121515
320,21,Heuristic,1.0812864187909201,2.1745320238965085,1.5390554123983753,0.20555555555555555,0.23055555555555557,0.006088749992411774
320,21,Grid,1.1383475887660408,2.7201869034930337,2.3774740881253233,0.5555555555555556,0.33055555555555555,3.2342601583353474
320,42,DDPG,0.9203491474947474,3.026726801754624,2.9176740458146817,0.5527777777777778,0.4,0.05098331666128312
320,42,TD3,0.9067759482684911,2.9966008988503074,2.9176541449943785,0.5555555555555556,0.39444444444444443,0.04829336387754463
320,42,SAC,1.1223871809757975,2.777196901757615,2.19479837992057,0.0,0.3055555555555556,0.06463376109877572
320,42,Heuristic,1.0812864187909201,2.1745320238965085,1.5390554123983753,0.20555555555555555,0.23055555555555557,0.002073755571372102
320,42,Grid,1.1383475887660408,2.7201869034930337,2.3774740881253233,0.5555555555555556,0.33055555555555555,1.84107251944978
