algorithm,avg_p1,avg_p2,avg_pj,avg_rs_sum,avg_p1_share,avg_p2_share,avg_pj_share
Grid,5.694444446388888,3.7444444447222223,0.561111172222223,1.1258884928615587,0.5694444410324074,0.37444444210074074,0.05611111686685189
Heuristic,5.0,3.0,2.0,1.0733801108102066,0.5,0.3,0.2
DDPG,6.41549416979154,3.1221615441971355,0.46234422765442673,1.0694129719419176,0.6415494207230373,0.3122161562417102,0.04623442303525242
SAC,5.851772742801242,3.3562758127848307,0.7919512882828712,0.9223488732788033,0.585177283416559,0.335627586518672,0.07919513006476905
TD3,6.849029112524456,3.1509708512160515,1.1172563849884101e-07,0.8804593728367058,0.6849029060837474,0.3150970827436889,1.1172563765569069e-08
DDPG_NoJammer,6.683578444851769,3.316421578493383,1.0000000116860974e-07,0.8795668589462887,0.668357836241307,0.3316421537586931,9.999999993515822e-09
