algorithm,episode,step,p1,p2,pj,rs1,rs2,rs_sum,r1,r2,re1,re2,qos_ok,sic_ok,decision_time_ms
DDPG,1,1,6.933600902557373,3.066398859024048,1.426023743533733e-07,0.0,0.0,0.0,1.2752874425415786,1.3990714904922779,1.5008191950492766,2.390895847618947,1.0,0.0,0.9587829999873065
DDPG,1,2,6.504244804382324,2.563904285430908,0.9318510293960571,0.0,0.18650137253245402,0.18650137253245402,1.067944517355322,1.3734100587808056,1.2765307480372408,1.1869086862483516,1.0,1.0,0.08170599994627992
DDPG,1,3,5.195531368255615,4.55450963973999,0.2499588429927826,0.6231035828580344,0.5252533679809277,1.148356950838962,0.9797726401259911,0.9323535852815803,0.3566690572679567,0.40710021730065254,0.0,0.0,0.04571699992084177
DDPG,1,4,6.841641426086426,2.597691535949707,0.5606672763824463,0.6864012231373433,1.3351877561682783,2.021588979305622,1.186544230051974,1.5821400266972203,0.5001430069146307,0.24695227052894195,1.0,1.0,0.04112799979338888
DDPG,1,5,6.794871807098389,3.0279719829559326,0.17715676128864288,0.7843992577155804,1.9667463487397856,2.751145606455366,1.5706122576800352,2.529251531186466,0.7862129999644548,0.5625051824466804,1.0,0.0,0.039976000152819324
DDPG,1,6,5.410800457000732,3.7526535987854004,0.8365460634231567,0.0,0.0,0.0,1.164260331219082,1.4002326394688058,1.1748325783499878,2.9686405639748266,1.0,0.0,0.04619800029104226
DDPG,1,7,5.975829124450684,3.8647541999816895,0.15941651165485382,0.32229029550949995,0.34489118293800336,0.6671814784475033,1.089197685503798,1.2172797871816015,0.766907389994298,0.8723886042435981,1.0,0.0,0.09103299998969305
DDPG,1,8,6.757603645324707,3.242391347885132,3.829766228591325e-06,1.2631893693318563,2.247922494373592,3.511111863705448,1.4645386553094997,2.355513183293897,0.20134928597764343,0.10759068892030535,1.0,0.0,0.05673800023942022
DDPG,1,9,5.077747821807861,3.0582096576690674,1.8640425205230713,0.29814323169411994,1.8544870316233593,2.152630263317479,1.1233814601836063,2.7564821607557057,0.8252382284894864,0.9019951291323464,1.0,1.0,0.04629799968824955
DDPG,1,10,6.056486129760742,3.9435129165649414,1.0000000116860974e-07,0.1624210367365001,0.07930904847408748,0.2417300852105876,0.945322214090778,0.9930429348000768,0.7829011773542779,0.9137338863259893,0.0,0.0,0.03862300036416855
DDPG,1,11,4.825939655303955,4.052023410797119,1.1220364570617676,0.6471950122908818,0.6942383668729439,1.3414333791638258,1.02944386802832,1.118386688114788,0.3822488557374382,0.424148321241844,1.0,0.0,0.038734000099793775
DDPG,1,12,6.505974769592285,3.494009494781494,1.613859785720706e-05,0.05731182548093949,0.4000542712018307,0.4573660966827702,1.3008899035807462,2.313809016273813,1.2435780780998067,1.9137547450719823,1.0,1.0,0.038153000332386
DDPG,1,13,5.722294807434082,4.27769136428833,1.3134436812833883e-05,0.0,0.44908431308426966,0.44908431308426966,1.0111867807379222,2.5166303661531426,1.013338261047012,2.067546053068873,1.0,1.0,0.037540999983320944
DDPG,1,14,5.431036472320557,4.568963527679443,1.0000000116860974e-07,0.1315614327410115,0.5539605161531562,0.6855219488941677,0.9951957614718718,2.2413789382345497,0.8636343287308603,1.6874184220813935,0.0,0.0,0.03736100006790366
DDPG,1,15,5.149145603179932,4.850788593292236,6.535094871651381e-05,0.0,0.0,0.0,0.8793022399277738,0.44835608246062186,0.9918936198640913,3.867752179139057,0.0,0.0,0.03736100006790366
DDPG,1,16,5.13311767578125,1.8654873371124268,3.001394748687744,0.0,0.20363066333777402,0.20363066333777402,1.3144334134133853,1.555085347531596,1.418606083747164,1.351454684193822,1.0,1.0,0.050254999678145396
DDPG,1,17,4.4227705001831055,5.577229976654053,1.0000000116860974e-07,0.2680202811342993,0.0,0.2680202811342993,0.8102542760751736,0.6329737021568786,0.5422339949408743,1.235526913538426,0.0,0.0,0.04721000004792586
DDPG,1,18,5.1923723220825195,3.3922359943389893,1.4153916835784912,0.9790020961058972,1.3297467765570379,2.3087488726629353,1.1119665312014482,1.423739240047338,0.13296443509555106,0.0939924634903001,1.0,0.0,0.038764000237279106
DDPG,1,19,8.6940279006958,1.0926083326339722,0.21336273849010468,0.0,1.469093844763722,1.469093844763722,1.398421625658504,2.6505392749358707,2.4459269497510827,1.1814454301721486,1.0,1.0,0.08090399978755158
DDPG,1,20,6.448941707611084,3.5509438514709473,0.00011464504495961592,0.0,0.048035100916694384,0.048035100916694384,1.1514367689545666,1.7275141705870498,1.1693709595337536,1.6794790696703554,1.0,1.0,0.04639799999495153
DDPG,1,21,5.9093403816223145,1.9477248191833496,2.142934560775757,0.7814136740396085,1.2632658112959656,2.044679485335574,1.1875533141182726,1.4268002072510273,0.40613964007866415,0.16353439595506172,1.0,1.0,0.07821899998816662
DDPG,1,22,9.150623321533203,0.8493632078170776,1.2953024452144746e-05,0.0,0.23259310600545957,0.23259310600545957,0.8888573441128189,1.2762169162913755,2.7108781402664457,1.0436238102859159,0.0,1.0,0.08363899996766122
DDPG,1,23,5.181885242462158,4.818114757537842,1.0000000116860974e-07,0.12711269336686892,0.0,0.12711269336686892,0.9878092228699645,1.4156764714312797,0.8606965295030956,2.0507251200074634,0.0,0.0,0.06937199987078202
DDPG,1,24,6.228052139282227,3.702183961868286,0.0697636529803276,0.0,0.0,0.0,1.101590612488265,1.5197224419242652,1.3049503625063674,2.9915923495684145,1.0,0.0,0.0463679998574662
DDPG,1,25,6.707096099853516,3.2929041385650635,1.0000000116860974e-07,0.0,0.0,0.0,0.7807941103454792,0.9567016668523021,1.304732423665682,1.8462969607302637,0.0,1.0,0.041218000205844874
DDPG,1,26,4.590927600860596,5.173171043395996,0.23590028285980225,0.20011357301406096,0.0,0.20011357301406096,0.7215515713723447,0.536058329890881,0.5214379983582837,0.9731373243806469,0.0,0.0,0.047730999995110324
DDPG,1,27,5.310128211975098,2.6472020149230957,2.0426700115203857,0.287932082033003,0.7954497567312087,1.0833818387642116,1.052368007866173,1.4132104932852667,0.76443592583317,0.617760736554058,1.0,1.0,0.04353299982540193
DDPG,1,28,7.712392330169678,1.3333003520965576,0.9543070793151855,0.0,0.8798559312131768,0.8798559312131768,1.4065744246390093,1.9471511757406277,2.00864091197537,1.0672952445274508,1.0,1.0,0.04376400011096848
DDPG,1,29,5.264983654022217,3.012152671813965,1.7228639125823975,0.5310332680332039,0.981147439346661,1.512180707379865,0.9628917318617969,1.3024436349945594,0.431858463828593,0.32129619564789835,0.0,1.0,0.04277100015315227
