epoch,train_loss
1,0.031457639932632446
2,0.019204826032121976
3,0.01767160713672638
4,0.016840110557774703
5,0.016430809224645297
6,0.015953374703725178
7,0.015264707853396734
8,0.015331690485278765
9,0.014749937504529954
10,0.014093563929200172
11,0.01410195584098498
12,0.013313420501848063
13,0.012718248820553224
14,0.012390663735568524
15,0.012086160747955243
16,0.012796335307260355
17,0.011861633559068043
18,0.01134643204510212
19,0.010918275540073713
20,0.010680233923097452
21,0.01055490697423617
22,0.010203076352675755
23,0.01005244061971704
24,0.009671755712479352
25,0.00966521439452966
26,0.009253397950281699
27,0.00919757974644502
28,0.009038991468648117
29,0.008818377492328484
30,0.008670444252590339
31,0.008513919214407603
32,0.008621570399651925
33,0.008172849168380101
34,0.00807128411407272
35,0.008117988836020232
36,0.008133672500650087
37,0.0078401135156552
38,0.007766986141602198
39,0.007506582699716091
40,0.007726344118515651
