algorithm,avg_rs1,avg_rs2,avg_rs_sum,avg_legit_gap,avg_legit_gap_u2,avg_eaves_u1,avg_eaves_u2,qos_violation_rate,sic_violation_rate
Grid,0.19011997252066376,0.9473725948262529,1.1374925673469167,0.9047879542238438,1.9020712895868452,0.947828438588675,1.33508520733861,0.38888888888888884,0.32499999999999996
Heuristic,0.26493349963753127,0.846123588480717,1.1110570881182482,0.7958006040839586,1.474514604384069,0.6755836788648902,0.8201252095254735,0.7722222222222223,0.3833333333333333
DDPG,0.23487864400431624,0.8259195770183969,1.0607982210227132,1.0500059501654782,1.6699983572795396,1.093451440509747,1.199750323447827,0.38888888888888884,0.3305555555555556
SAC,0.2397783425682889,0.7138878475249172,0.953666190093206,1.0027605129300086,1.5108975927958095,0.9655275108870539,1.096068623723213,0.7666666666666666,0.36388888888888893
TD3,0.14809642352404245,0.6840527914949059,0.8321492150189485,1.1791177788551528,1.8646303072699488,1.3079506140682287,1.6151279606478197,0.3277777777777777,0.36111111111111116
DDPG_NoJammer,0.1402462708103041,0.6914859786210944,0.8317322494313985,1.1193264586597562,1.8988061165874923,1.283101049632737,1.6399775376793049,0.35,0.36111111111111116
