train_episodes,algorithm,avg_secrecy_sum_mean,avg_secrecy_sum_std,qos_satisfaction_rate_mean,secrecy_outage_prob_mean
80,DDPG,0.8687323161186026,0.10947610616327652,0.4046296296296296,0.40277777777777773
80,Grid,1.1383475887660408,0.0,0.5555555555555556,0.33055555555555555
80,Heuristic,1.0812864187909201,0.0,0.20555555555555557,0.23055555555555554
80,SAC,1.1223871809757975,0.0,0.0,0.3055555555555556
80,TD3,0.7935714849221694,0.10946729416891458,0.4666666666666666,0.41203703703703703
160,DDPG,0.9321228706087604,0.016773490661282864,0.4851851851851852,0.3972222222222222
160,Grid,1.1383475887660408,0.0,0.5555555555555556,0.33055555555555555
160,Heuristic,1.0812864187909201,0.0,0.20555555555555557,0.23055555555555554
160,SAC,1.1223871809757975,0.0,0.0,0.3055555555555556
160,TD3,0.9197398935943232,0.009537100730945321,0.5398148148148149,0.39351851851851855
320,DDPG,0.8927573704723284,0.0250897186637579,0.5499999999999999,0.41203703703703703
320,Grid,1.1383475887660408,0.0,0.5555555555555556,0.33055555555555555
320,Heuristic,1.0812864187909201,0.0,0.20555555555555557,0.23055555555555554
320,SAC,1.1223871809757975,0.0,0.0,0.3055555555555556
320,TD3,0.8951053524540412,0.01253972831349955,0.5564814814814815,0.4046296296296297
