algorithm,avg_secrecy_sum,avg_legit_rate_sum,avg_eaves_rate_sum,qos_satisfaction_rate,secrecy_outage_prob,avg_decision_time_ms
FullReward,0.8620530307367337,3.0548318559819987,2.9476583921687216,0.5611111111111111,0.4,0.04571961666468067
NoQoSPenalty,0.9386196136664684,3.236902999846474,2.9483318921912693,0.0,0.45555555555555555,0.05212485557043086
NoSICPenalty,0.8917823242097888,3.1279884852034963,2.948318320484487,0.55,0.38055555555555554,0.04709072498296033
NoPowerPenalty,0.8677314382207957,3.0622592922964973,2.947568562881664,0.5638888888888889,0.4,0.04526658888658454
