algorithm,avg_decision_time_ms,std_decision_time_ms,p95_decision_time_ms,avg_rs_sum
Heuristic,0.0025239416648522215,0.0035069000085446167,0.0038120001818242595,0.9659323012200358
TD3,0.04074821667169696,0.011404952390041193,0.05329575012638084,0.6945616211800658
DDPG,0.04418020000684919,0.02873699514926566,0.06856835025246254,0.8637099568850193
SAC,0.05033609168094699,0.024116072298243925,0.09743794962560055,0.8183926963050152
Grid,1.9625257250178645,0.12200019513699713,2.1306289498397746,0.9623943741173737
