scenario,scenario_desc,algorithm,avg_user1_rate,avg_user2_rate,user1_qos_rate,user2_qos_rate,jain_fairness_index
original_channel,Original Channel,Random,0.6188463899572637,1.277020087328739,0.2105,0.478,0.7302004737335274
original_channel,Original Channel,Equal,0.5028602892106889,1.3359937045010155,0.0,0.5695,0.7948358440759078
original_channel,Original Channel,Heuristic,0.7819643379669561,1.4315425564010733,0.3385,0.6185,0.8366981468370739
original_channel,Original Channel,Grid,0.8888593997707576,1.8782604048687412,0.5895,0.8435,0.8836565999165836
original_channel,Original Channel,PSO,0.8763600584665817,1.896068354729207,0.597,0.843,0.8784666235626701
original_channel,Original Channel,DDPG,1.0322557442631286,1.6905310209380464,0.599,0.835,0.9185445384173154
original_channel,Original Channel,TD3,1.1507799766164544,1.8457140649808061,0.669,0.8355,0.9167583049551429
original_channel,Original Channel,SAC,0.9783323601025591,1.4584394908845897,0.2915,0.75,0.8803171317654296
strong_eavesdropper,Strong Eavesdropper,Random,0.6103167013365748,1.279961873699704,0.2085,0.4895,0.7365086048539995
strong_eavesdropper,Strong Eavesdropper,Equal,0.49384039466231333,1.3316105604074706,0.0,0.5805,0.7911666236596043
strong_eavesdropper,Strong Eavesdropper,Heuristic,0.7698133786296639,1.42879400440276,0.323,0.632,0.8341712077566722
strong_eavesdropper,Strong Eavesdropper,Grid,0.8854566146952105,1.7030168156521908,0.6195,0.8345,0.8969825624235218
strong_eavesdropper,Strong Eavesdropper,PSO,0.901514893384812,1.7267721537797027,0.6245,0.8355,0.8937873642896379
strong_eavesdropper,Strong Eavesdropper,DDPG,1.1251491638184543,1.5261284500277552,0.626,0.8075,0.9290765442262168
strong_eavesdropper,Strong Eavesdropper,TD3,1.1489593812645942,1.835824468409269,0.6385,0.831,0.9069470621912961
strong_eavesdropper,Strong Eavesdropper,SAC,0.9712119244440762,1.4412601396033307,0.2965,0.7305,0.877671804427818
high_noise,High Noise,Random,0.3486980935724604,0.6166146752957017,0.0745,0.2245,0.7300452008701367
high_noise,High Noise,Equal,0.30831781150228343,0.6597479755708688,0.0,0.2405,0.7994147462832998
high_noise,High Noise,Heuristic,0.46847638338820735,0.654134707899036,0.03,0.235,0.8256059025415705
high_noise,High Noise,Grid,0.47526474312210865,0.9164758868604866,0.097,0.4355,0.8077552067208731
high_noise,High Noise,PSO,0.4713931802357569,0.9132659243040713,0.1015,0.4225,0.8082297392233786
high_noise,High Noise,DDPG,0.5620145292487656,0.6086429985360461,0.0675,0.1735,0.9041321290486021
high_noise,High Noise,TD3,0.621605352133427,0.65770474349844,0.1385,0.205,0.8927981601302314
high_noise,High Noise,SAC,0.533926235515979,0.5771542748283021,0.096,0.107,0.8651206357658937
