scenario,scenario_desc,algorithm,avg_secrecy_sum,qos_satisfaction_rate,sic_feasible_rate,secrecy_outage_prob,avg_pj,avg_decision_time_ms
original_channel,Original Channel,Random,0.9127469988297187,0.0695,0.6025,0.2745,3.307314854335389,0.005750933001991143
original_channel,Original Channel,Equal,0.9931202595237967,0.0,0.606,0.2215,3.3333334922790527,0.0006375890022809472
original_channel,Original Channel,Heuristic,1.0643156686182282,0.2055,0.6125,0.2315,2.0,0.002058515000726402
original_channel,Original Channel,Grid,1.117183664612397,0.583,0.6525,0.3155,0.6007500600000008,1.7345888774962077
original_channel,Original Channel,PSO,1.1249364799940513,0.5945,0.654,0.317,0.5833203890358409,4.129590692497686
original_channel,Original Channel,DDPG,1.0552835428553422,0.5935,0.645,0.3155,0.5205351498848358,0.053473440496418334
original_channel,Original Channel,TD3,0.8844334703095635,0.652,0.6325,0.3865,1.0675365845003171e-07,0.04609862700226586
original_channel,Original Channel,SAC,0.924326930942122,0.2425,0.6205,0.294,0.8051127102375031,0.05203019749797022
strong_eavesdropper,Strong Eavesdropper,Random,0.5101260552682907,0.0755,0.6205,0.5365,3.307314854335389,0.005212487500557472
strong_eavesdropper,Strong Eavesdropper,Equal,0.5989036547370896,0.0,0.6175,0.487,3.3333334922790527,0.0006318789969554928
strong_eavesdropper,Strong Eavesdropper,Heuristic,0.6035981290865944,0.2025,0.625,0.5115,2.0,0.0021425755026029947
strong_eavesdropper,Strong Eavesdropper,Grid,0.6121497388182947,0.6105,0.67,0.5645,0.8045000563500007,1.7400564560011844
strong_eavesdropper,Strong Eavesdropper,PSO,0.6184881236567876,0.621,0.676,0.562,0.6895827904029596,4.011074585000642
strong_eavesdropper,Strong Eavesdropper,DDPG,0.5420128470538109,0.6,0.6565,0.5955,0.49423842485061453,0.04372978999822408
strong_eavesdropper,Strong Eavesdropper,TD3,0.406081199313784,0.6095,0.6415,0.6655,1.0243325212755394e-07,0.04285389999972722
strong_eavesdropper,Strong Eavesdropper,SAC,0.4779014082150316,0.242,0.634,0.581,0.8106996050477028,0.0473698424975737
high_noise,High Noise,Random,0.4644848230175471,0.004,0.609,0.373,3.307314854335389,0.005248165495913781
high_noise,High Noise,Equal,0.5024076314818099,0.0,0.61,0.312,3.3333334922790527,0.0006166810005652223
high_noise,High Noise,Heuristic,0.5304493364877947,0.0105,0.615,0.3135,2.0,0.0020478394983456383
high_noise,High Noise,Grid,0.5454925617111155,0.09,0.624,0.3685,0.1440000922000011,1.7411241769973458
high_noise,High Noise,PSO,0.5417329816934034,0.101,0.625,0.3705,0.13975945173134,4.030852768496743
high_noise,High Noise,DDPG,0.4929256343972812,0.03,0.6315,0.359,0.5263564865161449,0.043555644498837864
high_noise,High Noise,TD3,0.4754093075695711,0.061,0.62,0.3945,1.1162955897958681e-07,0.04299749049732782
high_noise,High Noise,SAC,0.4267603323663298,0.007,0.619,0.3615,0.7911825474798679,0.047509977003301174
