scenario,scenario_desc,algorithm,avg_secrecy_sum,avg_user1_rate,avg_user2_rate,avg_user1_secrecy,avg_user2_secrecy,user1_qos_rate,user2_qos_rate,qos_satisfaction_rate,sic_feasible_rate,secrecy_outage_prob,jain_fairness_index,jain_secrecy_index,avg_p1,avg_p2,avg_pj,avg_decision_time_ms
original_channel,Original Channel,Random,0.9127469988297187,0.6188463899572637,1.277020087328739,0.23597109166140512,0.6767759071683136,0.2105,0.478,0.0695,0.6025,0.2745,0.7302004737335274,0.50753123294809,3.478007913126843,3.2146772297222634,3.307314854335389,0.005750933001991143
original_channel,Original Channel,Equal,0.9931202595237967,0.5028602892106889,1.3359937045010155,0.1994466779014364,0.7936735816223603,0.0,0.5695,0.0,0.606,0.2215,0.7948358440759078,0.5418139895310735,3.3333334922790527,3.3333334922790527,3.3333334922790527,0.0006375890022809472
original_channel,Original Channel,Heuristic,1.0643156686182282,0.7819643379669561,1.4315425564010733,0.263512740309165,0.8008029283090633,0.3385,0.6185,0.2055,0.6125,0.2315,0.8366981468370739,0.5462939242127909,5.0,3.0,2.0,0.002058515000726402
original_channel,Original Channel,Grid,1.117183664612397,0.8888593997707576,1.8782604048687412,0.18943691971067705,0.9277467449017202,0.5895,0.8435,0.583,0.6525,0.3155,0.8836565999165836,0.48960920883107734,5.8132500013,3.58600000015,0.6007500600000008,1.7345888774962077
original_channel,Original Channel,PSO,1.1249364799940513,0.8763600584665817,1.896068354729207,0.18422904812315288,0.9407074318708983,0.597,0.843,0.5945,0.654,0.317,0.8784666235626701,0.4881607770967808,5.759699774303987,3.637009711828488,0.5833203890358409,4.129590692497686
original_channel,Original Channel,DDPG,1.0552835428553422,1.0322557442631286,1.6905310209380464,0.22484995006147107,0.830433592793871,0.599,0.835,0.5935,0.645,0.3155,0.9185445384173154,0.5095179620901467,6.4581561927795414,3.0213085936307906,0.5205351498848358,0.053473440496418334
original_channel,Original Channel,TD3,0.8844334703095635,1.1507799766164544,1.8457140649808061,0.16335560938319002,0.7210778609263734,0.669,0.8355,0.652,0.6325,0.3865,0.9167583049551429,0.4437874019392644,6.957061094164849,3.0429388611614705,1.0675365845003171e-07,0.04609862700226586
original_channel,Original Channel,SAC,0.924326930942122,0.9783323601025591,1.4584394908845897,0.24430811078792533,0.6800188201541968,0.2915,0.75,0.2425,0.6205,0.294,0.8803171317654296,0.5304469499991739,5.9490232229232785,3.245863873720169,0.8051127102375031,0.05203019749797022
strong_eavesdropper,Strong Eavesdropper,Random,0.5101260552682907,0.6103167013365748,1.279961873699704,0.11087243454029781,0.3992536207279928,0.2085,0.4895,0.0755,0.6205,0.5365,0.7365086048539995,0.3313536426600894,3.478007913126843,3.2146772297222634,3.307314854335389,0.005212487500557472
strong_eavesdropper,Strong Eavesdropper,Equal,0.5989036547370896,0.49384039466231333,1.3316105604074706,0.09944999440412661,0.49945366033296296,0.0,0.5805,0.0,0.6175,0.487,0.7911666236596043,0.3505161014416875,3.3333334922790527,3.3333334922790527,3.3333334922790527,0.0006318789969554928
